A,A_wells,A_area,B,B_wells,B_area,inter_km2,pct_of_smaller,pct_of_larger,jaccard
Journey Energy Inc.,408,156544.0,Pine Cliff Energy Ltd.,1526,167838.9,89149.4,56.95,53.12,37.9
Spoke Resources Ltd.,547,216872.9,Questfire Energy Corp.,673,223552.9,88979.5,41.03,39.8,25.32
Pine Cliff Energy Ltd.,1526,167838.9,Sequoia Resources Corp.,816,236179.8,88899.3,52.97,37.64,28.21
Journey Energy Inc.,408,156544.0,Veren Inc.,664,274382.3,88820.5,56.74,32.37,25.96
Harvest Operations Corp.,2067,394311.8,LGX Oil + Gas Inc.,308,95116.4,88456.6,93.0,22.43,22.06
InPlay Oil Corp.,306,113272.0,Gear Energy Ltd.,677,155908.7,88406.2,78.05,56.7,48.9
Suncor Energy Inc.,2060,255998.9,Pine Cliff Energy Ltd.,1526,167838.9,87439.9,52.1,34.16,25.99
Obsidian Energy Ltd.,1729,323028.8,Trident Exploration (Alberta) Corp.,826,130806.1,87310.0,66.75,27.03,23.82
Tamarack Valley Energy Ltd.,634,286414.6,LGX Oil + Gas Inc.,308,95116.4,86830.6,91.29,30.32,29.46
Ipc Canada Ltd.,1777,256449.7,Trident Exploration (Alberta) Corp.,826,130806.1,86811.8,66.37,33.85,28.89
Journey Energy Inc.,408,156544.0,Bonterra Energy Corp.,716,112752.0,86562.6,76.77,55.3,47.37
Gran Tierra Canada Ltd.,426,192549.8,Gear Energy Ltd.,677,155908.7,86241.4,55.32,44.79,32.89
Axiom Oil and Gas Inc.,298,105167.2,Sinopec Canada Energy Ltd.,429,242470.3,86041.3,81.81,35.49,32.89
InPlay Oil Corp.,306,113272.0,Bonterra Energy Corp.,716,112752.0,85846.9,76.14,75.79,61.24
Axiom Oil and Gas Inc.,298,105167.2,Pine Cliff Energy Ltd.,1526,167838.9,84886.9,80.72,50.58,45.12
InPlay Oil Corp.,306,113272.0,Sequoia Resources Corp.,816,236179.8,84582.5,74.67,35.81,31.93
Cenovus Energy Inc.,5874,530534.1,LGX Oil + Gas Inc.,308,95116.4,84566.8,88.91,15.94,15.63
Lexin Resources Ltd.,852,334562.2,Axiom Oil and Gas Inc.,298,105167.2,84417.5,80.27,25.23,23.76
Canlin Energy Corporation,1376,356522.5,LGX Oil + Gas Inc.,308,95116.4,84239.3,88.56,23.63,22.93
Ipc Canada Ltd.,1777,256449.7,Ember Resources Inc.,1051,162498.1,84066.8,51.73,32.78,25.1
Ember Resources Inc.,1051,162498.1,Trident Exploration (Alberta) Corp.,826,130806.1,83490.4,63.83,51.38,39.79
Gran Tierra Canada Ltd.,426,192549.8,Trident Exploration (Alberta) Corp.,826,130806.1,83234.5,63.63,43.23,34.66
AlphaBow Energy Ltd.,1490,281555.9,LGX Oil + Gas Inc.,308,95116.4,83227.2,87.5,29.56,28.36
InPlay Oil Corp.,306,113272.0,Pine Cliff Energy Ltd.,1526,167838.9,83011.0,73.28,49.46,41.9
Long Run Exploration Ltd.,1077,351216.8,LGX Oil + Gas Inc.,308,95116.4,82559.3,86.8,23.51,22.7
InPlay Oil Corp.,306,113272.0,Trident Exploration (Alberta) Corp.,826,130806.1,81680.3,72.11,62.44,50.3
Journey Energy Inc.,408,156544.0,InPlay Oil Corp.,306,113272.0,81507.2,71.96,52.07,43.28
Spoke Resources Ltd.,547,216872.9,Ovintiv Canada ULC,276,195983.6,81162.1,41.41,37.42,24.47
Gran Tierra Canada Ltd.,426,192549.8,Ipc Canada Ltd.,1777,256449.7,80943.9,42.04,31.56,21.99
Cenovus Energy Inc.,5874,530534.1,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,15.23,15.23
